tas,"	Year", Month, Country, ISO3, ISO2
25.3767,1901,1,GHA,,
28.7445,1901,2,GHA,,
28.4372,1901,3,GHA,,
28.6048,1901,4,GHA,,
27.4667,1901,5,GHA,,
26.6535,1901,6,GHA,,
25.6778,1901,7,GHA,,
25.3938,1901,8,GHA,,
25.8815,1901,9,GHA,,
26.8931,1901,10,GHA,,
27.3377,1901,11,GHA,,
25.7162,1901,12,GHA,,
26.1862,1902,1,GHA,,
28.3768,1902,2,GHA,,
29.0064,1902,3,GHA,,
29.6303,1902,4,GHA,,
28.2547,1902,5,GHA,,
25.8895,1902,6,GHA,,
25.6559,1902,7,GHA,,
25.5511,1902,8,GHA,,
25.7131,1902,9,GHA,,
26.0939,1902,10,GHA,,
27.3681,1902,11,GHA,,
26.4703,1902,12,GHA,,
26.9592,1903,1,GHA,,
29.0753,1903,2,GHA,,
29.4983,1903,3,GHA,,
29.1291,1903,4,GHA,,
28.1207,1903,5,GHA,,
26.6139,1903,6,GHA,,
25.577,1903,7,GHA,,
25.3238,1903,8,GHA,,
25.7703,1903,9,GHA,,
26.9288,1903,10,GHA,,
27.2564,1903,11,GHA,,
26.4797,1903,12,GHA,,
26.8607,1904,1,GHA,,
28.8456,1904,2,GHA,,
29.4954,1904,3,GHA,,
29.0787,1904,4,GHA,,
28.1692,1904,5,GHA,,
26.689,1904,6,GHA,,
25.6334,1904,7,GHA,,
25.3903,1904,8,GHA,,
25.8759,1904,9,GHA,,
26.914,1904,10,GHA,,
27.3219,1904,11,GHA,,
26.5505,1904,12,GHA,,
26.0438,1905,1,GHA,,
27.2518,1905,2,GHA,,
28.4808,1905,3,GHA,,
28.7659,1905,4,GHA,,
28.1792,1905,5,GHA,,
26.0932,1905,6,GHA,,
25.6438,1905,7,GHA,,
25.0526,1905,8,GHA,,
25.6388,1905,9,GHA,,
26.9265,1905,10,GHA,,
27.6743,1905,11,GHA,,
26.699,1905,12,GHA,,
26.2215,1906,1,GHA,,
29.1857,1906,2,GHA,,
29.7771,1906,3,GHA,,
30.7945,1906,4,GHA,,
28.3353,1906,5,GHA,,
27.182,1906,6,GHA,,
25.2789,1906,7,GHA,,
25.1546,1906,8,GHA,,
26.105,1906,9,GHA,,
26.8503,1906,10,GHA,,
27.2386,1906,11,GHA,,
26.6015,1906,12,GHA,,
27.0129,1907,1,GHA,,
27.5209,1907,2,GHA,,
29.1345,1907,3,GHA,,
28.9477,1907,4,GHA,,
29.0216,1907,5,GHA,,
26.6627,1907,6,GHA,,
26.2381,1907,7,GHA,,
25.37,1907,8,GHA,,
25.9766,1907,9,GHA,,
27.8983,1907,10,GHA,,
27.4332,1907,11,GHA,,
25.8274,1907,12,GHA,,
26.7754,1908,1,GHA,,
28.5754,1908,2,GHA,,
29.196,1908,3,GHA,,
29.5684,1908,4,GHA,,
28.5243,1908,5,GHA,,
27.3232,1908,6,GHA,,
26.0539,1908,7,GHA,,
25.0444,1908,8,GHA,,
25.9173,1908,9,GHA,,
26.5992,1908,10,GHA,,
26.8725,1908,11,GHA,,
26.162,1908,12,GHA,,
26.9355,1909,1,GHA,,
29.7412,1909,2,GHA,,
31.0617,1909,3,GHA,,
29.0461,1909,4,GHA,,
27.8621,1909,5,GHA,,
25.531,1909,6,GHA,,
24.9295,1909,7,GHA,,
24.119,1909,8,GHA,,
25.8342,1909,9,GHA,,
26.1433,1909,10,GHA,,
27.4837,1909,11,GHA,,
26.5711,1909,12,GHA,,
26.2176,1910,1,GHA,,
29.7185,1910,2,GHA,,
29.3034,1910,3,GHA,,
29.2463,1910,4,GHA,,
28.632,1910,5,GHA,,
27.9729,1910,6,GHA,,
26.0365,1910,7,GHA,,
25.6084,1910,8,GHA,,
25.8902,1910,9,GHA,,
26.528,1910,10,GHA,,
27.3201,1910,11,GHA,,
26.5759,1910,12,GHA,,
26.7098,1911,1,GHA,,
29.028,1911,2,GHA,,
29.6557,1911,3,GHA,,
29.2429,1911,4,GHA,,
28.0143,1911,5,GHA,,
25.7572,1911,6,GHA,,
25.6432,1911,7,GHA,,
25.067,1911,8,GHA,,
25.6552,1911,9,GHA,,
26.5133,1911,10,GHA,,
26.8572,1911,11,GHA,,
25.4467,1911,12,GHA,,
27.3241,1912,1,GHA,,
28.9075,1912,2,GHA,,
29.2805,1912,3,GHA,,
29.8838,1912,4,GHA,,
28.5366,1912,5,GHA,,
26.9309,1912,6,GHA,,
26.1121,1912,7,GHA,,
25.8622,1912,8,GHA,,
26.0686,1912,9,GHA,,
26.4836,1912,10,GHA,,
26.2797,1912,11,GHA,,
26.314,1912,12,GHA,,
27.2853,1913,1,GHA,,
29.2292,1913,2,GHA,,
28.1426,1913,3,GHA,,
28.8477,1913,4,GHA,,
28.8455,1913,5,GHA,,
28.1575,1913,6,GHA,,
26.7631,1913,7,GHA,,
26.7993,1913,8,GHA,,
26.6758,1913,9,GHA,,
26.6026,1913,10,GHA,,
26.2201,1913,11,GHA,,
25.8333,1913,12,GHA,,
28.5215,1914,1,GHA,,
28.7067,1914,2,GHA,,
28.8394,1914,3,GHA,,
28.8988,1914,4,GHA,,
29.2765,1914,5,GHA,,
27.9568,1914,6,GHA,,
26.2268,1914,7,GHA,,
25.6938,1914,8,GHA,,
25.7225,1914,9,GHA,,
26.7634,1914,10,GHA,,
27.6589,1914,11,GHA,,
25.926,1914,12,GHA,,
25.9124,1915,1,GHA,,
28.2289,1915,2,GHA,,
29.8314,1915,3,GHA,,
28.531,1915,4,GHA,,
28.0202,1915,5,GHA,,
25.9737,1915,6,GHA,,
25.7043,1915,7,GHA,,
25.3271,1915,8,GHA,,
25.5208,1915,9,GHA,,
26.2785,1915,10,GHA,,
26.8101,1915,11,GHA,,
25.8751,1915,12,GHA,,
25.8183,1916,1,GHA,,
27.7694,1916,2,GHA,,
29.245,1916,3,GHA,,
28.3628,1916,4,GHA,,
27.4981,1916,5,GHA,,
26.0676,1916,6,GHA,,
25.7319,1916,7,GHA,,
24.7691,1916,8,GHA,,
24.9975,1916,9,GHA,,
25.9481,1916,10,GHA,,
26.0557,1916,11,GHA,,
26.5206,1916,12,GHA,,
27.0232,1917,1,GHA,,
29.0357,1917,2,GHA,,
28.4903,1917,3,GHA,,
28.429,1917,4,GHA,,
27.2685,1917,5,GHA,,
25.9998,1917,6,GHA,,
25.7021,1917,7,GHA,,
25.3919,1917,8,GHA,,
25.0927,1917,9,GHA,,
26.0457,1917,10,GHA,,
25.7263,1917,11,GHA,,
26.1653,1917,12,GHA,,
26.3673,1918,1,GHA,,
27.3744,1918,2,GHA,,
27.9685,1918,3,GHA,,
28.5212,1918,4,GHA,,
27.4642,1918,5,GHA,,
26.604,1918,6,GHA,,
25.589,1918,7,GHA,,
24.5045,1918,8,GHA,,
25.0007,1918,9,GHA,,
26.4382,1918,10,GHA,,
26.7091,1918,11,GHA,,
26.456,1918,12,GHA,,
26.996,1919,1,GHA,,
29.1327,1919,2,GHA,,
29.496,1919,3,GHA,,
29.015,1919,4,GHA,,
28.0208,1919,5,GHA,,
26.604,1919,6,GHA,,
25.5688,1919,7,GHA,,
25.3475,1919,8,GHA,,
25.7684,1919,9,GHA,,
